Blog	how	be	interesting	months	ago	video	made	its	way	around	internet	as	some	do	was	t	most	us	already	know	about	great	are	often	different	but	all	there	or	something	bit	why	so	he	an	called	their	get	people	attention	others	don	found	become	because	they	true	i	were	into	what	really	bad	thing	good	not	them	thought	instead	wrong	we	had	isn	new	his	up	million	only	has	another	over	might	first	youtube	ever	when	years	been	doing	year	both	if	look	makes	things	think	can	many	ve	now	re	love	m	took	d	long	our	time	put	much	take	keep	out	just	go	through	idea	need	little	com	media	b	your	like	making	than	even	got	still	work	would	world	book	business	show	should	me	share	more	run	design	life	system	where	by	story	have	no	said	him	down	recently	few	team	question	company	did	come	every	person	wrote	told	small	actually	big	following	day	everyone	own	via	amazon	site	online	next	week	spent	hours	during	one	getting	else	since	then	help	never	make	such	want	words	case	may	saying	future	real	yet	didn	important	ll	feel	will	latest	each	create	open	please	free	give	find	too	always	say	she	my	see	her	use	support	app	also	working	part	project	writing	blog	talk	lot	any	better	between	well	space	which	less	looking	after	today	old	school	nothing	here	very	clear	back	two	name	change	right	twitter	short	started	hit	finally	away	whole	u	doesn	does	someone	other	play	game	those	who	later	home	night	job	enough	money	wanted	tv	won	done	being	while	tech	off	talking	apple	google	customers	sure	place	ways	tell	going	end	saw	left	results	state	let	three	web	using	these	went	probably	could	last	times	gets	used	hard	top	month	page	days	before	says	th	report	shows	account	september	same	past	again	email	perhaps	co	though	almost	without	phone	best	second	once	likely	point	myself	set	high	watch	live	read	whether	post	trump	president	man	houston	news	pay	am	cool	data	face	kind	government	harvey	especially	white	stop	buy	college	press	morning	special	according	number	full	several	record	easy	content	everything	nbsp	security	against	program	camera	american	facebook	series	house	hurricane	ready	america	appeared
Signal v. Noise - Medium	40	31	10	4	6	11	4	3	8	8	1	50	18	34	53	80	12	8	4	19	39	7	42	8	7	34	31	22	57	22	3	11	28	50	33	6	25	27	42	4	7	19	6	5	18	47	2	74	10	15	44	8	3	8	15	29	16	7	4	2	81	19	9	43	22	26	6	10	19	8	20	4	10	7	3	23	5	17	10	8	8	42	6	6	29	9	30	5	16	18	34	3	7	3	32	7	20	22	4	11	5	5	33	30	7	8	6	13	6	12	9	14	41	27	8	9	14	6	5	31	12	3	6	7	3	6	10	8	24	5	15	4	2	17	21	15	33	12	2	5	8	3	8	18	5	45	7	3	6	9	6	3	9	3	5	1	22	5	5	2	1	1	2	7	12	2	3	2	20	7	3	3	6	9	4	12	1	5	4	1	4	5	3	2	1	11	5	20	5	6	2	8	4	8	4	5	9	7	10	4	10	20	10	31	16	2	4	6	11	5	7	11	14	3	3	11	5	6	6	15	2	9	3	6	6	6	2	3	3	15	5	5	8	3	1	3	12	3	3	2	2	1	2	1	1	9	1	5	13	5	2	5	19	1	1	1	3	4	1	5	1	3	5	16	4	1	5	2	1	2	3	4	4	7	4	10	2	3	6	4	3	3	7	2	4	5	2	1	2	2	3	2	1	1	13	7	2	7	5	2	6	2	2	2	1	8	3	1	1	2	14	1	1	4	1	2	2	1	2	3	3	1	2	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	3	9	1	0	1	0	3	0	3	0	0	7	5	6	5	18	1	0	2	4	8	0	9	2	0	13	6	6	5	1	1	2	3	6	5	0	5	4	9	3	0	4	1	0	4	14	3	29	3	2	3	2	1	1	2	18	9	0	1	1	3	0	2	5	2	8	0	2	8	1	2	0	0	0	0	4	1	0	0	0	0	7	4	0	1	7	7	1	1	2	4	0	1	0	0	1	2	2	0	1	0	2	2	12	1	1	0	0	0	1	0	0	6	2	0	4	7	3	3	0	3	1	0	0	0	1	0	0	5	0	0	0	0	0	2	0	4	2	4	0	4	1	0	0	1	0	0	1	0	0	0	0	0	2	2	0	2	1	0	0	0	0	1	0	0	0	0	0	2	3	1	1	2	1	2	1	1	0	1	0	0	2	0	2	0	1	0	1	0	3	0	0	0	0	0	0	0	0	1	2	3	0	3	1	1	0	0	0	2	0	0	2	0	0	0	6	5	0	0	2	0	5	0	0	1	1	2	0	3	1	0	1	0	0	3	0	0	2	0	1	0	1	0	0	0	1	3	0	1	0	0	1	5	0	0	3	0	0	1	0	2	0	0	4	0	0	1	2	0	0	0	3	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	2	0	0	0	0	0	1	0	0	1	0	1	0	3	0	0	1	0	1	2	2	0	1	0	0	0	0	1	1	0	0	0	2	0	1	1	0	5	3	1	1	2	1	1	1	1	2	2	2	1	1	3	1	2	1	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown title	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	5	4	0	0	1	0	2	1	1	2	0	12	3	3	6	11	3	1	1	2	9	0	6	1	2	10	5	5	7	2	0	0	7	2	5	1	4	5	3	0	1	4	0	0	5	7	1	18	1	3	6	0	0	1	0	5	4	0	0	1	12	3	1	8	1	3	0	2	1	2	1	0	2	0	0	4	1	4	2	0	2	8	1	1	1	0	10	0	4	4	5	2	2	1	2	1	3	4	1	4	1	0	2	6	1	1	3	2	0	0	0	4	8	6	0	1	4	0	0	1	11	1	0	0	1	0	4	0	4	1	1	0	0	1	4	0	5	6	2	0	1	0	1	0	4	0	1	1	1	0	0	0	1	2	0	0	3	0	0	2	0	4	1	1	0	0	0	0	13	0	2	0	3	0	1	3	0	2	0	1	1	0	1	0	1	0	0	6	1	1	0	3	1	2	0	2	0	3	2	2	0	0	7	4	0	3	0	4	2	2	0	0	0	1	0	0	3	0	0	2	0	5	1	0	0	1	0	0	0	2	1	0	3	3	2	1	1	0	0	0	1	0	0	0	0	0	0	1	4	0	2	3	5	2	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	28	0	0	2	0	0	2	0	1	1	1	0	2	0	4	4	1	1	2	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	1	0	1	2	0	0	2	0	3	0	0	4	4	1	1	1	0	0	1	0	0	1	2	1	2	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	5	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Celebslam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	10	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	10	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Operating System	0	16	3	0	0	3	0	3	1	2	1	11	6	1	6	10	3	0	1	4	10	1	11	1	9	7	3	7	27	2	0	1	6	0	13	4	3	15	2	0	1	3	4	2	2	6	0	13	0	3	4	1	0	0	0	7	3	0	0	0	8	2	0	24	0	5	0	10	16	4	1	0	5	13	0	15	0	2	0	2	2	11	3	2	1	0	23	4	5	16	3	0	3	0	1	5	2	1	0	2	1	1	7	4	7	0	0	2	1	2	0	4	20	17	0	5	4	0	5	0	0	2	0	0	2	1	1	3	14	0	1	2	5	1	10	0	3	6	0	0	5	2	1	1	3	0	3	0	1	0	0	0	0	1	0	0	3	2	2	2	0	4	0	5	0	0	0	0	8	0	0	2	3	1	2	2	1	3	0	0	1	0	0	1	0	0	2	7	1	13	2	4	0	4	0	1	0	1	0	1	0	0	3	4	0	7	2	9	9	0	0	0	0	2	0	1	3	1	4	2	0	12	0	0	2	1	4	1	0	7	2	2	4	0	2	3	1	0	0	2	0	0	0	0	0	2	0	0	9	4	2	3	1	1	6	2	0	0	0	0	2	1	0	0	5	0	2	0	0	108	0	1	3	1	0	1	1	0	2	9	0	1	0	3	5	3	0	1	0	1	0	1	0	0	1	1	10	0	0	0	1	0	18	4	0	3	0	2	1	0	0	1	0	0	0	1	0	0	0	3	0	1	4	0	2	1	2	1	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	3	2	0	2	0	0	1	2	0	11	2	1	2	2	0	0	0	0	0	0	0	0
Creating Passionate Users	3	2	0	0	0	0	0	1	0	0	0	1	1	2	2	2	0	0	0	0	3	1	4	0	0	3	4	2	1	1	0	1	2	0	3	0	0	0	1	0	0	0	0	0	0	0	0	11	2	0	3	1	0	0	2	2	0	0	0	0	2	0	0	1	0	1	0	0	2	0	0	1	0	0	0	1	0	1	0	0	1	2	0	0	1	0	2	0	3	0	1	1	0	0	0	0	1	3	0	1	0	0	1	2	0	0	1	0	0	0	0	0	4	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	4	0	2	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0	2	2	0	0	0	0	0	0	1	0	1	2	0	0	3	2	0	0	0	5	0	0	0	0	0	3	1	0	0	1	0	0	0	1	1	0	0	0	0	0	1	1	1	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Joi Ito's Web	0	2	0	0	0	1	0	0	0	1	1	3	1	2	5	0	0	2	0	2	9	2	0	0	0	0	0	1	3	0	3	0	2	0	0	1	0	0	1	1	0	0	1	0	1	1	0	14	2	0	2	0	0	0	0	0	0	0	0	0	5	2	0	4	2	0	0	1	1	0	3	0	4	0	0	2	3	2	0	2	2	2	0	0	1	0	0	3	0	0	0	0	2	1	2	0	2	0	0	0	0	0	2	0	0	1	1	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	1	0	2	0	0	0	0	0	1	0	3	0	0	1	1	3	1	0	3	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	9	1	3	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	0	0
Mashable	11	10	0	1	1	5	4	4	7	1	3	20	7	3	11	17	3	5	4	8	40	2	19	0	1	14	19	10	11	0	1	3	8	7	13	2	18	8	8	0	0	3	2	2	5	11	1	8	4	4	12	3	1	2	4	7	6	1	0	0	12	5	2	16	6	9	2	2	16	6	7	7	7	2	2	4	2	6	1	5	1	6	11	0	0	1	9	1	5	7	10	3	2	1	5	2	3	15	1	5	4	0	7	17	3	2	1	2	5	10	1	1	10	13	0	2	10	1	2	0	3	3	2	1	1	1	3	0	66	0	1	1	0	2	17	1	6	9	1	2	2	2	1	0	1	5	0	5	1	0	0	1	0	0	1	0	9	2	2	2	4	0	1	0	5	2	3	5	6	2	0	2	1	2	5	3	2	2	0	1	4	0	0	3	2	4	0	3	0	11	1	0	0	4	0	2	2	3	0	7	3	2	1	24	3	1	0	6	25	5	1	0	0	0	0	3	2	6	0	3	9	6	0	2	6	2	2	0	3	5	6	1	4	8	0	0	4	14	3	0	3	1	0	1	6	2	4	0	3	1	7	4	4	4	0	0	1	1	1	1	1	1	2	5	2	4	4	2	11	1	0	1	1	1	2	0	2	2	1	1	0	1	1	1	4	5	1	1	2	9	2	2	0	1	3	2	0	5	2	2	1	1	4	1	7	0	0	0	0	0	3	1	1	2	0	6	3	1	0	2	0	0	1	3	2	32	1	8	5	1	2	4	3	0	2	4	0	1	0	0	5	0	3	2	0	0	1	2	1	3	1	2	1	6	1	0	1	0	0	3	1	5	0	0	3	4	10	5	1	1
NewsBusters	9	16	0	1	3	0	2	3	2	1	0	41	5	7	34	18	3	0	1	0	14	0	9	0	2	15	9	3	12	2	0	1	9	30	20	3	7	3	15	2	1	4	1	0	4	9	2	5	11	1	10	2	0	4	2	17	3	0	1	0	7	10	0	6	19	5	3	5	8	2	9	0	5	0	0	10	5	7	0	4	2	2	2	2	2	4	3	3	1	2	5	0	2	3	2	1	2	2	2	1	1	4	11	4	0	0	0	0	0	2	15	1	4	6	2	4	7	1	3	1	2	0	0	0	7	5	0	0	1	0	0	2	0	2	18	8	8	7	1	3	3	0	3	1	4	0	8	1	2	1	3	0	1	4	5	3	1	0	1	0	0	1	0	1	3	0	0	7	9	0	1	1	1	3	2	2	2	1	2	2	4	2	1	3	3	2	2	0	0	4	3	2	0	0	0	0	1	2	0	1	1	6	2	1	6	1	0	0	8	0	3	0	0	0	1	2	1	1	0	2	0	6	0	0	11	3	2	2	0	1	0	1	0	5	1	7	3	2	0	0	0	1	1	0	4	3	4	1	2	1	1	0	16	1	1	1	1	2	5	0	1	2	1	2	7	0	2	0	0	0	0	0	1	1	1	0	5	0	8	0	2	1	4	0	0	2	2	0	2	4	5	0	5	1	1	0	2	0	3	4	0	2	1	1	2	2	1	1	0	1	2	0	2	1	0	3	3	0	1	1	0	0	0	0	2	0	5	4	45	28	0	5	26	1	0	0	0	2	2	3	22	0	14	0	0	0	6	4	3	2	0	2	0	0	1	0	1	18	1	4	11	1	3	3	1	2	19	0	4	1
